Postnummer,Poststedsnavn,Kategori,Primærkommunenummer,Primærkommunenavn,Primærfylkenummer,Primærfylke,X_gateadresser,Y_gateadresser,X_postbokser,Y_postbokser,Latitude_gateadresser,Longitude_gateadresser,Latitude_postbokser,Longitude_postbokser
0001,OSLO,P,0301,OSLO,03,OSLO,,,6649487,261392,,,59.9136146606159,10.7313131872948
0010,OSLO,B,0301,OSLO,03,OSLO,6649889,261199,6649487,261392,59.9171026750728,10.7274082019004,59.9136146606159,10.7313131872948
0015,OSLO,B,0301,OSLO,03,OSLO,6648623,261779,6649487,261392,59.9061015571612,10.7392074472435,59.9136146606159,10.7313131872948
0018,OSLO,S,0301,OSLO,03,OSLO,,,,,,,,
0021,OSLO,P,0301,OSLO,03,OSLO,,,6649487,261392,,,59.9136146606159,10.7313131872948
0024,OSLO,P,0301,OSLO,03,OSLO,,,6650382,266764,,,59.9247018654139,10.8261095191519
0026,OSLO,B,0301,OSLO,03,OSLO,6649409,261891,6649487,261392,59.9132044866873,10.7403011366178,59.9136146606159,10.7313131872948
0028,OSLO,P,0301,OSLO,03,OSLO,,,6650126,261886,,,59.9196220179356,10.7393877680908
0030,OSLO,P,0301,OSLO,03,OSLO,,,6649487,261392,,,59.9136146606159,10.7313131872948
0032,OSLO,P,0301,OSLO,03,OSLO,,,6649487,261392,,,59.9136146606159,10.7313131872948
0033,OSLO,P,0301,OSLO,03,OSLO,,,6649487,261392,,,59.9136146606159,10.7313131872948
0034,OSLO,P,0301,OSLO,03,OSLO,,,6649487,261392,,,59.9136146606159,10.7313131872948
0037,OSLO,B,0301,OSLO,03,OSLO,6649353,261540,6649487,261392,59.9125003235685,10.7341065693768,59.9136146606159,10.7313131872948
0040,OSLO,P,0301,OSLO,03,OSLO,,,6649487,261392,,,59.9136146606159,10.7313131872948
0045,OSLO,S,0301,OSLO,03,OSLO,,,,,,,,
0046,OSLO,S,0301,OSLO,03,OSLO,,,,,,,,
0047,OSLO,S,0301,OSLO,03,OSLO,,,,,,,,
0048,OSLO,P,0301,OSLO,03,OSLO,,,6649487,261392,,,59.9136146606159,10.7313131872948
0050,OSLO,G,0301,OSLO,03,OSLO,6649332,262553,,,59.9128964888483,10.7521943813241,,
0055,OSLO,P,0301,OSLO,03,OSLO,,,6649487,261392,,,59.9136146606159,10.7313131872948
0101,OSLO,P,0301,OSLO,03,OSLO,,,6649487,261392,,,59.9136146606159,10.7313131872948
0102,OSLO,P,0301,OSLO,03,OSLO,,,6649487,261392,,,59.9136146606159,10.7313131872948
0103,OSLO,P,0301,OSLO,03,OSLO,,,6649487,261392,,,59.9136146606159,10.7313131872948
0104,OSLO,P,0301,OSLO,03,OSLO,,,6649487,261392,,,59.9136146606159,10.7313131872948
0105,OSLO,P,0301,OSLO,03,OSLO,,,6649487,261392,,,59.9136146606159,10.7313131872948
0106,OSLO,P,0301,OSLO,03,OSLO,,,6649487,261392,,,59.9136146606159,10.7313131872948
0107,OSLO,P,0301,OSLO,03,OSLO,,,6649487,261392,,,59.9136146606159,10.7313131872948
0109,OSLO,P,0301,OSLO,03,OSLO,,,6653074,263741,,,59.9470877182168,10.7691073227035
0110,OSLO,P,0301,OSLO,03,OSLO,,,6649487,261392,,,59.9136146606159,10.7313131872948
0111,OSLO,P,0301,OSLO,03,OSLO,,,6649487,261392,,,59.9136146606159,10.7313131872948
0112,OSLO,P,0301,OSLO,03,OSLO,,,6649487,261392,,,59.9136146606159,10.7313131872948
0113,OSLO,P,0301,OSLO,03,OSLO,,,6649487,261392,,,59.9136146606159,10.7313131872948
0114,OSLO,P,0301,OSLO,03,OSLO,,,6649487,261392,,,59.9136146606159,10.7313131872948
0115,OSLO,P,0301,OSLO,03,OSLO,,,6649487,261392,,,59.9136146606159,10.7313131872948
0116,OSLO,P,0301,OSLO,03,OSLO,,,6649487,261392,,,59.9136146606159,10.7313131872948
0117,OSLO,P,0301,OSLO,03,OSLO,,,6649487,261392,,,59.9136146606159,10.7313131872948
0118,OSLO,P,0301,OSLO,03,OSLO,,,6649487,261392,,,59.9136146606159,10.7313131872948
0119,OSLO,P,0301,OSLO,03,OSLO,,,6649487,261392,,,59.9136146606159,10.7313131872948
0120,OSLO,P,0301,OSLO,03,OSLO,,,6649487,261392,,,59.9136146606159,10.7313131872948
0121,OSLO,P,0301,OSLO,03,OSLO,,,6649487,261392,,,59.9136146606159,10.7313131872948
0122,OSLO,P,0301,OSLO,03,OSLO,,,6649487,261392,,,59.9136146606159,10.7313131872948
0123,OSLO,P,0301,OSLO,03,OSLO,,,6649487,261392,,,59.9136146606159,10.7313131872948
0124,OSLO,P,0301,OSLO,03,OSLO,,,6649487,261392,,,59.9136146606159,10.7313131872948
0125,OSLO,P,0301,OSLO,03,OSLO,,,6649487,261392,,,59.9136146606159,10.7313131872948
0129,OSLO,P,0301,OSLO,03,OSLO,,,6650126,261886,,,59.9196220179356,10.7393877680908
0130,OSLO,P,0301,OSLO,03,OSLO,,,6650126,261886,,,59.9196220179356,10.7393877680908
0131,OSLO,P,0301,OSLO,03,OSLO,,,6650770,262240,,,59.9255929882997,10.7449620621598
0132,OSLO,P,0301,OSLO,03,OSLO,,,6651045,262561,,,59.9282404679681,10.7503729086128
0133,OSLO,P,0301,OSLO,03,OSLO,,,6650382,266764,,,59.9247018654139,10.8261095191519
0134,OSLO,P,0301,OSLO,03,OSLO,,,6650382,266764,,,59.9247018654139,10.8261095191519
0135,OSLO,P,0301,OSLO,03,OSLO,,,6650382,266764,,,59.9247018654139,10.8261095191519
0136,OSLO,P,0301,OSLO,03,OSLO,,,6650535,261550,,,59.9230903006445,10.7329241005606
0138,OSLO,P,0301,OSLO,03,OSLO,,,6644515,263394,,,59.8702436823855,10.7726842332834
0139,OSLO,G,0301,OSLO,03,OSLO,6644488,263388,,,59.8699984624727,10.7726081157599,,
0140,OSLO,P,0301,OSLO,03,OSLO,,,6648296,262742,,,59.9037280853451,10.7567506373684
0150,OSLO,G,0301,OSLO,03,OSLO,6646994,260192,,,59.8905960121835,10.7127983544021,,
0151,OSLO,G,0301,OSLO,03,OSLO,6648924,261961,,,59.9089019032366,10.742106518646,,
0152,OSLO,G,0301,OSLO,03,OSLO,6649019,262219,,,59.9099013375773,10.7465976373045,,
0153,OSLO,G,0301,OSLO,03,OSLO,6649088,262005,,,59.9103958360519,10.7427026931096,,
0154,OSLO,G,0301,OSLO,03,OSLO,6649194,262281,,,59.911504123942,10.747502374356,,
0155,OSLO,G,0301,OSLO,03,OSLO,6649335,262211,,,59.9127263934108,10.7460923696385,,
0157,OSLO,G,0301,OSLO,03,OSLO,6649281,261956,,,59.9120958068508,10.7416072807638,,
0158,OSLO,G,0301,OSLO,03,OSLO,6649280,261810,,,59.9120025963402,10.7390050359175,,
0159,OSLO,G,0301,OSLO,03,OSLO,6649482,261969,,,59.9139031778394,10.7416081722209,,
0160,OSLO,G,0301,OSLO,03,OSLO,6649169,261444,,,59.9107972066839,10.7326065757684,,
0161,OSLO,G,0301,OSLO,03,OSLO,6649501,261493,,,59.9137984214611,10.7330981159276,,
0162,OSLO,G,0301,OSLO,03,OSLO,6649553,261721,,,59.9143957966436,10.7371040775852,,
0164,OSLO,G,0301,OSLO,03,OSLO,6649747,261834,,,59.9161982259137,10.73889613248,,
0165,OSLO,G,0301,OSLO,03,OSLO,6650038,261993,,,59.9188957691269,10.7413973045046,,
0166,OSLO,G,0301,OSLO,03,OSLO,6650096,261627,,,59.9192037911594,10.7348029264384,,
0167,OSLO,G,0301,OSLO,03,OSLO,6650196,261454,,,59.9199992274271,10.731602265788,,
0168,OSLO,G,0301,OSLO,03,OSLO,6650998,261663,,,59.9273015433172,10.73440665338,,
0169,OSLO,G,0301,OSLO,03,OSLO,6650756,261776,,,59.925199849588,10.7367010290238,,
0170,OSLO,G,0301,OSLO,03,OSLO,6650467,261763,,,59.9226044866944,10.7368016879546,,
0171,OSLO,G,0301,OSLO,03,OSLO,6650857,262119,,,59.9263022571346,10.7427035903368,,
0172,OSLO,G,0301,OSLO,03,OSLO,6650593,262220,,,59.9239964924153,10.7448085856127,,
0173,OSLO,G,0301,OSLO,03,OSLO,6651007,262381,,,59.9277965042732,10.7472052773146,,
0174,OSLO,G,0301,OSLO,03,OSLO,6650847,262438,,,59.9263966042712,10.7484057985224,,
0175,OSLO,G,0301,OSLO,03,OSLO,6650881,262614,,,59.9268024165408,10.7515065430551,,
0176,OSLO,G,0301,OSLO,03,OSLO,6650193,261841,,,59.9201959926197,10.7385081195733,,
0177,OSLO,G,0301,OSLO,03,OSLO,6650060,262348,,,59.9192974500116,10.747703587663,,
0178,OSLO,G,0301,OSLO,03,OSLO,6650161,262511,,,59.9202957506343,10.7504949625465,,
0179,OSLO,G,0301,OSLO,03,OSLO,6649744,262400,,,59.9164977336205,10.7489935400879,,
0180,OSLO,G,0301,OSLO,03,OSLO,6649710,262067,,,59.916001353773,10.7430938938494,,
0181,OSLO,G,0301,OSLO,03,OSLO,6649551,262450,,,59.9147982754854,10.7501065649436,,
